"","formula","time_varying","include_spatial","ar1_fields","n_knots","cv_loglik"
"1","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",FALSE,FALSE,30,-514.707226316169
"2","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",FALSE,FALSE,30,-270.677442932601
"3","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",FALSE,FALSE,30,-267.183031912035
"4","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",TRUE,FALSE,30,-446.606833384148
"5","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",TRUE,FALSE,30,-263.146479507379
"6","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",TRUE,FALSE,30,-223.670504792245
"7","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",FALSE,TRUE,30,-419.983787542758
"8","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",FALSE,TRUE,30,-242.543511056774
"9","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",FALSE,TRUE,30,-210.439828458269
"10","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",TRUE,TRUE,30,-395.911030442765
"11","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",TRUE,TRUE,30,-196.598837711306
"12","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",TRUE,TRUE,30,-208.171176663818
"13","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",FALSE,FALSE,80,-422.028739199478
"14","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",FALSE,FALSE,80,-180.844396989497
"15","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",FALSE,FALSE,80,-200.544552090561
"16","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",TRUE,FALSE,80,-263.883541505285
"17","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",TRUE,FALSE,80,-59.1431542181519
"18","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",TRUE,FALSE,80,-70.5751758486684
"19","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",FALSE,TRUE,80,-276.43821508401
"20","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",FALSE,TRUE,80,-95.0426967276561
"21","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",FALSE,TRUE,80,-79.6254686347952
"22","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",TRUE,TRUE,80,-231.701606175027
"23","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",TRUE,TRUE,80,-15.8070588742322
"24","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",TRUE,TRUE,80,-141.290927578794
"25","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",FALSE,FALSE,150,-521.07429070431
"26","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",FALSE,FALSE,150,-253.830258988298
"27","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",FALSE,FALSE,150,-234.516554588597
"28","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",TRUE,FALSE,150,-89.7434677891428
"29","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",TRUE,FALSE,150,-31.2724844230609
"30","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",TRUE,FALSE,150,27.2760276589538
"31","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",FALSE,TRUE,150,-282.252632092593
"32","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",FALSE,TRUE,150,-61.6349403085118
"33","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",FALSE,TRUE,150,-37.5076129842932
"34","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled",TRUE,TRUE,150,-79.2645811988263
"35","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2",TRUE,TRUE,150,-72.4489779584942
"36","temperature_c ~ 0 + as.factor(year)","~0 + depth_scaled + depth_scaled2 + depth_scaled3",TRUE,TRUE,150,-3.40177325603877
